"Keyword Version: 8.5","Revision: 2017-09-22 12:50:06","Timestamp: 2017-11-06 12:37:24","Terms Of Use: http://gcmd.nasa.gov/r/l/TermsOfUse","The most up to date XML representations can be found here: https://gcmdservices.gsfc.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=xml""Case native"
Category,Topic,Term,Variable_Level_1,Variable_Level_2,Variable_Level_3,Detailed_Variable,UUID
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL AQUATIC SCIENCES","AQUACULTURE","","","","8916dafb-5ad5-45c6-ab64-3500ea1e9577"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL AQUATIC SCIENCES","FISHERIES","","","","c7112a64-be39-414a-9125-f63ab44ecb5b"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL AQUATIC SCIENCES","","","","","ca227ff0-4742-4e51-a763-4582fa28291c"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL CHEMICALS","FERTILIZERS","","","","18a8197e-3a3f-408c-9c51-e9fe89dd6b45"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL CHEMICALS","PESTICIDES","","","","59a203f9-f818-42a6-8d00-4301385cafc3"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL CHEMICALS","","","","","afd084b9-1f4c-4eb5-a58e-689a360e7abf"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL ENGINEERING","AGRICULTURAL EQUIPMENT","","","","f2f37978-d942-43d2-9c51-79e9f5bdfe24"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL ENGINEERING","FARM STRUCTURES","","","","d53e1951-fb68-4ad8-8725-d19c10751da5"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL ENGINEERING","","","","","b8018326-a186-4847-961d-8bd0727bbd5e"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL PLANT SCIENCE","CROP/PLANT YIELDS","","","","f12d8026-f24a-4413-91d0-4704c243c9e7"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL PLANT SCIENCE","CROPPING SYSTEMS","","","","2dda92a8-6c26-4506-9881-43b6d9a83b18"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL PLANT SCIENCE","IRRIGATION","","","","a756fd6b-6208-4af0-ac56-6ee914fc4597"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL PLANT SCIENCE","PLANT BREEDING AND GENETICS","","","","dcd7a439-6021-4fc3-b3d8-a8936ef171f6"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL PLANT SCIENCE","PLANT DISEASES/DISORDERS/PESTS","","","","213cefd8-806f-40f5-b3ca-05022cde9498"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL PLANT SCIENCE","RECLAMATION/REVEGETATION/RESTORATION","","","","c7570528-f2d5-42b0-b8e9-d12a2432e87e"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL PLANT SCIENCE","WEEDS, NOXIOUS PLANTS OR INVASIVE PLANTS","","","","b376a9f9-585e-4567-ba1f-55ef45cfa8df"
"EARTH SCIENCE","AGRICULTURE","AGRICULTURAL PLANT SCIENCE","","","","","25be3b9a-9d4c-4b5b-8d24-b1f519913d90"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","AFFORESTATION/REFORESTATION","","","","b3a1e091-0bc2-4c9b-a89c-bd003fdd5889"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","DEFOLIANTS","","","","b3fcccdd-745f-4299-94b3-e72e37f551be"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","FOREST CONSERVATION","","","","7ee9d286-0742-4844-b7eb-b7550d3f782b"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","FOREST FIRE SCIENCE","","","","e5a8c6ed-5b59-40fe-a83b-18b39fb7c31b"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","FOREST HARVESTING AND ENGINEERING","","","","23336b57-1ba3-42a6-9ec7-152285c55689"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","FOREST MANAGEMENT","","","","d2056285-8249-4c11-810b-783600030525"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","FOREST MENSURATION","","","","31d01087-d5b8-4474-820c-d84d523dfb39"
